EVTDESC800;Дворянство нашей страны решительно возражает против ограничения их привилегий и клянется остановить нас. Возможно, начиная столь решительные реформы, нам следовало бы оценить все их последствия.;La noblesse $COUNTRY$ est rйsolument contre notre dйcision de limiter ses privilиges et a fait vњu de nous en empкcher. Nous aurions peut-кtre dы rйflйchir avant d'agir.;Der Adel von $COUNTRY$ hat wegen unserer Entscheidung, ihre Privilegien zu beschneiden, zu den Waffen gegriffen, um uns davon abzuhalten. Vielleicht hдtten wir das vorher bedenken sollen?;;La nobleza de $COUNTRY$ se ha alzado en armas contra nuestra decisiуn de limitar sus privilegios y ha jurado detenernos. Quizб deberнamos haber considerado esto antes de emprender acciones.;;;;;;;;;x;
EVTOPTB800A;Хорошо, уничтожьте их!;Eh bien, йcrasez-les !;In Ordnung, vernichtet sie!;;ЎMuy bien, aplбstalos!;;;;;;;;;x;
EVTNAME801;Потеря престижа;Perte de prestige;Prestigeverlust;;Pйrdida de prestigio;;;;;;;;;x;
EVTDESC801;Усиление бюргеров и купцов за счет дворян уменьшает наш престиж в глазах остального мира. Мы теряем лицо и рискуем стать нацией жадных хапуг.;Le renforcement des bourgeois et des marchands aux dйpens de la noblesse amoindrit notre prestige aux yeux du monde. Nous perdons la face et prenons le risque de devenir une nation d'avides grippe-sous.;Die Stдrkung der Bьrger und Hдndler auf Kosten des Adels in $COUNTRY$ verringert unser Ansehen bei anderen. Wir verlieren an Ansehen und werden eine Nation von Hдndlern anstatt eine des Adels.;;Fortalecer a burgueses y mercaderes a costa de la pequeсa aristocracia disminuye nuestro prestigio a ojos del mundo. Estamos perdiendo credibilidad, y corremos el riesgo de convertirnos en una naciуn de miserables avaros.;;;;;;;;;x;
EVTOPTB801A;Что тут поделаешь?;Et alors ?;Was interessiert uns das?;;їQuй mбs da?;;;;;;;;;x;
EVTNAME802;Торговые выгоды;Profit des marchands;Hдndler profitieren;;Beneficio de los mercaderes;;;;;;;;;x;
EVTDESC802;С усилением в нашем обществе позиции бюргеров и купцов появляется все больше людей, способных отлично исполнять государственные функции. Иногда страна может извлечь выгоду даже из талантов простых людей.;Lorsque la position des bourgeois et des marchands d'un pays est renforcйe, les compйtences affluent pour le devoir d'Йtat. Un pays peut parfois tirer parti des talents des gens ordinaires.;Wenn die Position der Bьrger und Hдndler in einem Land gestдrkt wird, werden mehr kompetente Leute fьr den Staatsdienst verfьgbar. Manchmal kann ein Land selbst von Nicht-Adligen profitieren.;;Cuando la posiciуn de burgueses y mercaderes en un paнs se refuerza, habrб mбs gente competente para pagar impuestos. A veces un paнs puede beneficiarse incluso del talento de la gente corriente.;;;;;;;;;x;
EVTOPTB802A;Еще один великий человек на нашей службе!;Un grand homme nous servira !;Ein groЯer Mann wird uns dienen!;;ЎUn gran hombre nos servirб!;;;;;;;;;x;
EVTNAME803;Потеря стабильности;Perte de stabilitй;Verlust an Stabilitдt;;Pйrdida de estabilidad;;;;;;;;;x;
EVTDESC803;Предоставление дополнительных привилегий дворянам серьезно огорчает бюргеров и купцов. Это способствует росту беспорядков в нашем государстве, что в долгосрочном плане может стать для нас гибельным.;Ce renforcement des privilиges de la noblesse contrarie йnormйment les bourgeois et les marchands. Le royaume est en proie aux troubles, ce qui pourrait bien s'avйrer dйsastreux а long terme.;Diese Stдrkung der Privilegien des Adels versetzt die Bьrger und Hдndler in helle Aufregung. Das schafft Unruhe im Reich und kцnnte auf lange Sicht zu einer Katastrophe fьhren. ;;El refuerzo de los privilegios de los nobles estб molestando mucho a burgueses y mercaderes. Ello genera agitaciуn en nuestro reino, y puede resultar desastroso a largo plazo.;;;;;;;;;x;
EVTOPTB803A;Да ладно, они же просто крестьяне;Eh bien, ce ne sont que des paysans !;Naja, sie sind nur Bauern.;;Bueno, no son mбs que campesinos.;;;;;;;;;x;
EVTNAME804;Восстание бюргеров;Les bourgeois s'insurgent !;Die Bьrger erheben sich!;;ЎLos burgueses se rebelan!;;;;;;;;;x;
EVTDESC804;Бюргеры поднимают восстание против изменений в нашей стране, ограничивающих их власть. Понятное дело, они не очень рады дополнительным привилегиям, которые мы предоставили дворянам.;Les bourgeois s'insurgent contre les changements adoptйs par notre pays, changements qui limitent leurs pouvoirs. Ils s'indignent de constater que privilиges de la noblesse sont, quant а eux, renforcйs.;Die Bьrger erheben sich gegen die Дnderungen im Land, durch die ihre Macht verringert wird. Klarerweise sind sie nicht glьcklich, dass die Privilegien des Adels gestдrkt werden.;;Los burgueses se estбn rebelando contra los cambios en nuestro paнs, que han limitado su poder. Estб claro que no les gusta que los privilegios de la nobleza se hayan reforzado.;;;;;;;;;x;
EVTOPTB804A;Вся надежда на знать;Comptez sur la noblesse.;Verlasst euch auf den Adel;;Confнa en la nobleza.;;;;;;;;;x;
EVTNAME805;Больше дворян в армии;Plus de noblesse dans l'armйe;Mehr Adel in der Armee;;Mбs nobles en el ejйrcito;;;;;;;;;x;
EVTDESC805;С увеличением привилегий аристократии растут и обязанности аристократов. Мы можем ждать, что настоящий дворянин придет на службу в армию как офицер и как джентльмен.;Les privilиges accrus de l'aristocratie s'accompagnent de devoirs supplйmentaires. Une noble doit servir dans l'armйe en tant qu'officier et gentleman.;Mit der Stдrkung der Aristokratie und den neuen Privilegien, die vergeben wurden, kommt auch eine Pflicht. Von einem Adligen wird erwartet, als Offizier und Gentleman in der Armee zu dienen.;;El aumento de privilegios de la aristocracia conlleva deberes adicionales. Un verdadero noble debe servir en el ejйrcito como oficial y caballero.;;;;;;;;;x;
EVTOPTB805A;Дворянин всегда впереди;Un noble peut toujours mener.;Ein Adliger kann immer fьhren.;;Un noble siempre puede dirigir.;;;;;;;;;x;
PRIVATEER_NAME;$WHOS$ каперы;Corsaires de $WHOS$;$WHOS$ Privateers;;Corsarios de $WHOS$;;;;;;;;;x;
EVTNAME806;Дестабилизация государства;Pays dйstabilisй;Nation destabilisiert;;Paнs desestabilizado;;;;;;;;;x;
EVTDESC806;Наше решение усилить государство ценой пренебрежения региональными интересами нанесло удар по местным властям. Поскольку никто из местных владык не смог сказать народу, что все хорошо, люди начали верить, что ими плохо управляют.;Notre dйcision de renforcer l'Йtat aux dйpens des intйrкts rйgionaux a perdu un peu de terrain en matiиre de politique locale. En l'absence de potentats locaux pour les rassurer, la population commence а remettre en cause notre faзon de gouverner.;Unsere Entscheidung, den Staat auf Kosten lokaler Interessen zu stдrken, hat eine kleine Lьcke in lokaler Politik hinterlassen. Da keine wichtigen Leute da sind, um den Menschen zu sagen das alles in Ordnung ist, glauben sie, dass sie schlecht regiert werden.;;Nuestra decisiуn de reforzar el estado a costa de los intereses regionales ha abierto una brecha en la polнtica local. Dado que no hay potentados locales que le digan a la gente que todo va bien, esta empieza a creer que estб mal gobernada.;;;;;;;;;x;
EVTOPTB806A;Невезение;Dommage !;Ohje;;Desafortunado;;;;;;;;;x;
EVTNAME807;Крупное восстание;Grosse rйvolte;GroЯe Revolte;;Gran revuelta;;;;;;;;;x;
EVTDESC807;Хотя мы и прекрасно знаем, что никто не любит платить налоги, нам казалось, что все понимают, что такие славные победы на поле брани требуют усиления налогового бремени. Кажется, нам придется объяснять это народу.;Malgrй l'impopularitй des impфts, on pourrait croire que la population soit suffisamment sensйe pour comprendre que les glorieuses victoires remportйes sur le champ de bataille impliquent une lйgиre hausse de l'imposition. Visiblement, nous allons devoir le lui expliquer.;Obwohl wir genau wissen, dass niemand gerne Steuern bezahlt wьrde mann meinen, dass die Leute realisieren wьrden, dass fьr mehr Siege auf dem Schlachtfeld auch etwas hцhere Steuern nцtig sind. Es scheint, als ob wir das fьr sie erklдren mьssen.;;Aunque somos conscientes de que a nadie le gusta pagar impuestos, piensas que la gente es capaz de entender que las victorias gloriosas en el campo de batalla requieren subir un poco los impuestos. Parece que tendremos que explicбrselo.;;;;;;;;;x;
EVTOPTB807A;Учебная стрельба;Exercices de tir !;Zielьbung;;Tiro al blanco;;;;;;;;;x;
EVTNAME808;Бунт претендента;Un prйtendant local se dresse;Lokaler Thronbewerber erscheint;;Pretendiente local se subleva;;;;;;;;;x;
EVTDESC808;Для вящей славы нашей державы мы решили ограничить провинциальные привилегии. Впрочем, с привилегиями есть одна проблема: люди слишком привязаны к ним по сентиментальным причинам. В результате один жадный до власти идиот объявил себя истинным правителем нашей страны, и доверчивые люди стекаются под его знамена, потому что он обещает восстановить права провинций.;Pour pйrenniser la gloire de notre pays, nous avons dы limiter les privilиges locaux. Le problиme des privilиges, c'est que pour des raisons sentimentales, la population y est trиs attachйe. Et voilа qu'un imbйcile assoiffй de pouvoir s'est autoproclamй а la tкte de notre pays et que de nombreux naпfs le rejoignent, sыrs qu'il tiendra promesse et rйtablira les privilиges locaux.;Um den Ruhm unserer Nation zu erhalten mьssen wir lokale Privilegien einschrдnken. Das Problem mit Privilegien ist, dass die Leute sie nicht freiwillig abgeben wollen. Nun hat sich jemand als einzig wahrer Herrscher unsere Landes ausrufen lassen und die Leute sind ьberzeugt dass er es ist, da er versprochen hat, die lokalen Privilegien wieder einzufьhren.;;Para asegurar la gloria de nuestro paнs, debemos limitar los privilegios locales. El problema de los privilegios es que la gente se apega mucho a ellos por razones sentimentales. Un idiota hambriento de poder se ha proclamado el verdadero soberano del reino y mucha gente esperanzada se congrega bajo su bandera, pues les ha prometido restablecer los privilegios locales.;;;;;;;;;x;
EVTOPTB808A;Отрубить ему голову!;Coupez-lui la tкte !;Oh;;ЎCortadle la cabeza!;;;;;;;;x;;
EVTNAME809;Рост сбора налогов с провинции;Hausse des impфts locaux;Lokale Steuererhцhung;;Subida de impuestos locales;;;;;;;;;x;
EVTDESC809;Один из наших губернаторов мастерски воспользовался своими полномочиями и увеличил сбор налогов с провинции.;L'un de nos gouverneurs locaux a judicieusement usй de son autoritй pour augmenter la base fiscale dans sa province.;Einer unserer lokalen Provinzgoverneure hat seine Autoritдt genutzt, um seine Provinz zu verbessern. Das bedeutet, dass es mehr Reichtum zum besteuern gibt.;;Uno de nuestros gobernadores provinciales se ha servido hбbilmente de su autoridad para subir la base impositiva en su provincia.;;;;;;;;;x;
EVTOPTB809A;Отличная работа;Excellent travail !;Gute Arbeit;;Excelente trabajo;;;;;;;;x;;
EVTNAME810;Рост числа новобранцев;Plus de recrutements locaux;Mehr lokale Rekrutierung;;Mбs reclutamiento local;;;;;;;;;x;
EVTDESC810;Наше решение сохранить привилегии провинций привело к тому, что крестьяне в большей мере готовы защищать свои деревни. Это, в свою очередь, способствует притоку в нашу армию новых рекрутов.;Notre dйcision de veiller а ce que les privilиges locaux soient honorйs a incitй les paysans а dйfendre leurs villages. Et il en rйsulte que la population йprouve moins de ressentiment а servir sous nos drapeaux.;Unsere Entscheidung, lokale Privilegien beizubehalten, fьhrt dazu, dass die Bauern willig sind, ihre Dцrfer zu verteidigen. Das wiederrum bedeutet, dass die Leute es weniger verabscheuen, in unseren Armeen zu dienen.;;Nuestra decisiуn de asegurar que se respeten los privilegios locales ha supuesto que los campesinos estйn dispuestos a defender sus pueblos. Gracias a ello, la gente estб mбs dispuesta a servir en nuestro ejйrcito.;;;;;;;;;x;
EVTOPTB810A;Мы довольны;Nous sommes satisfaits.;Wir sind zufrieden;;Nos complace;;;;;;;;;x;
EVTNAME811;Рост стабильности;Stabilitй en hausse;Stabilitдtszuwachs;;Aumento de estabilidad;;;;;;;;;x;
EVTDESC811;Наше решение предоставить провинциям больше прав привело к тому, что местные магнаты стали лучше относиться к нашему правительству. В результате они всем вокруг рассказывают, как мы замечательно управляем нашим народом.;Notre dйcision d'octroyer plus de pouvoir aux magnats locaux a eu pour effet de leur faire apprйcier notre gouvernement. Et maintenant, ils racontent а tout le monde combien ils sont bien gouvernйs.;Unsere Entscheidung, den lokalen Magnaten mehr Macht zu geben hat sichergestellt, dass die wichtigen Leute gut ьber unsere Regierung denken. Nun erzдhlen sie allen anderen, wie gut sie regiert werden. ;;Nuestra decisiуn de dar mбs poder a los magnates locales ha hecho que la gente importante se sienta bien con nuestro gobierno. Asн, han estado contando a toda la gente lo bien gobernados que estбn.;;;;;;;;;x;
EVTOPTB811A;Хорошие новости;Bonne nouvelle !;Gute Nachrichten;;Buenas noticias;;;;;;;;;x;
EVTNAME812;Крестьянское восстание;Rйvolte paysanne;Bauernaufstand;;Revuelta campesina;;;;;;;;;x;
EVTDESC812;Одна из выгод крепостничества состоит в том, что если крестьянам запрещено менять место жительства, с них легче брать налоги. Однако некоторые крестьяне без радости принимают эту справедливую и естественную политику, и теперь они решили поднять безрассудное восстание.;En empкchant les paysans de se dйplacer, le servage prйsente l'avantage de les imposer plus aisйment. Mais cette politique, aussi juste que naturelle, semble poser problиmes а certains paysans qui ont stupidement dйcidй de se rйvolter.;Einer der Vorteile ьber Leibeigenschaft ist, dass die Bauern nicht wegziehen kцnnen und daher leichter besteuert werden kцnnen. Aber die Bauern scheinen es nicht zu mцgen, ihre Pflicht zu tun und zu bezahlen, und so haben sie eine Revolte gestartet.;;Una de las cosas buenas de la servidumbre es que dado que los campesinos no son libres de trasladarse, es mбs fбcil cobrarles impuestos. Sin embargo, algunos campesinos parecen tener problemas con esta justa y natural polнtica, asн que estъpidamente han decidido rebelarse.;;;;;;;;;x;
EVTOPTB812A;Убить их всех!;Tuez-les tous !;Tцtet sie alle!;;ЎMatadlos a todos!;;;;;;;;;x;
EVTNAME813;Привлечение нужных людей;Attirer les bonnes personnes;Die richtigen Leute werden angezogen;;Atrayendo a la gente correcta;;;;;;;;;x;
EVTDESC813;Наше решение улучшить жизнь наших крепостных и больше о них заботиться открыло простым людям массу новых возможностей. Возможно, один из таких людей однажды достигнет настоящего величия.;Notre dйcision d'amйliorer le sort des serfs en veillant а ce qu'ils soient bien traitйs a permis а chacun de montrer ce dont il йtait capable... Il est possible que l'un d'eux accиde а une vraie grandeur.;Unsere Entscheidung sicherzustellen, das unsere Leibeigenen gut behandelt werden hat mehr Mцglichkeiten fьr die Menschen geschaffen zu zeigen, was sie kцnnen. Vielleicht wird aus einigen von ihnen sogar etwas GroЯes?;;Nuestra decisiуn de mejorar la situaciуn de nuestros siervos asegurбndonos de que son cuidados debidamente ha creado mбs oportunidades para que estos demuestren de lo que son capaces; tal vez alguno incluso se acerque a la verdadera grandeza.;;;;;;;;;x
EVTOPTB813A;Это хорошо;C’est bien.;Das ist gut;;Eso es bueno;;;;;;;;;x;
EVTNAME814;Большое восстание;Rйvolte de taille;Starke Revolte;;Revuelta grave;;;;;;;;;x;
EVTDESC814;Наши крестьяне глубоко огорчены новостями, что их свобода передвижения теперь еще больше ограничена. Собственно, они даже подняли крупное восстание. Возможно, если бы они уделяли больше внимания личной гигиене, их нравы были бы поспокойней?;Nos paysans s'inquiиtent de voir leur libertй de mouvement une nouvelle fois mise а mal. En fait, cela a provoquй d'importantes rйvoltes partout dans le pays... Peut-кtre qu'en prenant le temps de s'occuper de leurs propres affaires, ils seraient moins rйvoltйs ? ;Unsere Bauern sind in Aufruhr wegen der Neuigkeit dass sie das Land nicht mehr wie frьher verlassen kцnnen. Es gab schon schwere Aufstдnde im ganzen Land deswegen. Obwohl vielleicht wenn sie sich mehr waschen wьrden, dann wьrden sie nicht so rebellisch sein?;;Nuestros campesinos estбn muy alterados ante la noticia de que su libertad de movimiento va a limitarse aъn mбs. De hecho, ha habido revueltas masivas por todo el paнs por dicha razуn… Tal vez si se preocuparan mбs por su higiene personal no andarнan tan revueltos.;;;;;;;;;x;
EVTOPTB814A;Крестьяне бунтуют!;Les paysans se rйvoltent !;Die Bauern revoltieren!;;ЎLos campesinos se rebelan!;;;;;;;;;x;
EVTNAME815;Исчезновение людей;Des gens disparaissent;Die Menschen verschwinden;;La gente desaparece;;;;;;;;;x;
EVTDESC815;Мы смягчили для крестьян правила передвижения, и теперь, к сожалению, нам стало труднее собирать их, когда нам необходимы новые рекруты для армии.;Depuis que nous avons facilitй les dйplacements des paysans en quкte de meilleures opportunitйs agricoles, il est, malheureusement, plus difficile de savoir oщ ils se trouvent lorsque l'armйe a besoin de nouvelles recrues.;Da wir es fьr die Bauern leichter gemacht haben, bei der Suche nach Farmland herumzuziehen gibt es den schlechten Nebeneffekt, dass sie nun schwerer zu finden sind, wenn die Armee Rekruten benцtigt.;;Desde que dimos facilidades a los campesinos para trasladarse en busca de mejores posibilidades de cultivar, por desgracia ha sido mбs difнcil localizarlos cuando el ejйrcito necesita reclutas.;;;;;;;;;x;
EVTOPTA815;Нехорошо это;Ce n’est pas l’idйal.;Das ist nicht gut;;No es lo ideal;;;;;;;;;x;
EVTNAME816;Потеря контроля;Perte de contrфle ;Kontrollverlust;;Perdiendo el control;;;;;;;;;x;
EVTDESC816;Наши новые законы менее крепко привязывают крестьян к земле. И кстати, у них, кажется, появились странные идеи относительно их места в планах Творца.;Depuis les nouvelles lois qui lient moins fermement les paysans а la terre, il semble que ceux-ci aient de bien йtranges idйes sur leur rфle prйcis dans l'ordre des choses.;Mit unseren neuen Gesetzen, die Bauern weniger eng an ihr Land zu binden, haben diese auch komische neue Ideen ьber ihren Platz im groЯen Zusammenhang bekommen.;;Con nuestras nuevas leyes que vinculan al campesinado a la tierra con menos firmeza, parece que estбn teniendo nuevas y extraсas ideas sobre el papel que desempeсan en el contexto general de las cosas.;;;;;;;;;x;
EVTOPTB816A;Опасные тенденции;Voilа un inquiйtant constat !;Das ist eine besorgnisserregende Entwicklung;;Es un asunto preocupante;;;;;;;;;x;
EVTNAME817;Лучшее управление;Meilleure administration;Bessere Administration;;Mejor administraciуn;;;;;;;;;x;
EVTDESC817;Теперь, когда знать не может больше бесконтрольно эксплуатировать крестьян, в нашей администрации появилось неожиданно много так называемых фермеров-джентльменов. Это, в свою очередь, улучшает общую экономическую ситуацию в стране.;"En rйfrйnant l'exploitation impitoyable de la paysannerie par la noblesse, les ""gentlemen farmers"" se sont multipliйs dans l'administration. Cela a aussi amйliorй les conditions gйnйrales dans notre pays.";Indem wir dem Adel weniger Freiheit bei der Ausnьtzung der Bauern geben wird aus dem „Gentleman Farmer“ ein idealer Kandidat fьr die Administration. Das hat zu Verbesserungen ьberall gefьhrt.;;"Al controlar a la nobleza en su despiadada explotaciуn del campesinado, los llamados ""hacendados"" se han vuelto sorprendentemente comunes en la administraciуn. Ello, a su vez, ha mejorado las condiciones generales en nuestro paнs.";;;;;;;;;x;
EVTOPTB817A;Прогресс!;Le progrиs !;Schцn!;;ЎProgreso!;;;;;;;;;x;
EVTNAME818;Распространение опасных идей;De dangereuses idйes se propagent !;Gefдhrliche Ideen verbreiten sich!;;ЎSe propagan ideas peligrosas!;;;;;;;;;x;
EVTDESC818;"Наше чуть менее догматичное мышление привело к развитию нового и неожиданного понятия ""гуманизм"". Это вызывало большое беспокойство в обществе: люди начали задавать вопросы о правильном порядке вещей.";Notre pensйe quelque peu moins dogmatique a donnй lieu а d'йtranges notions d'humanisme. C'est d'autant plus inquiйtant que la population commence а remettre en question l'ordre des choses.;Wir haben uns entschlossen, in unserem Denken etwas weniger dogmatisch zu sein. Das hat dazu gefьhrt, dass die Leute komische neue, humanistische Ideen bekommen. Das ist sehr besorgnisserregend und fьhrt dazu, dass die Leute die bestehende Ordnung in Frage stellen.;;Nuestro modo de pensar ligeramente menos dogmбtico ha conducido a nuevas y desconocidas nociones de 'humanismo'. Ello es causa de profunda inquietud, pues la gente empieza a cuestionarse el orden natural de las cosas.;;;;;;;;;x;
EVTOPTB818A;Мы обеспокоены;Nous sommes inquiets;Wir sind besorgt;;Estamos preocupados.;;;;;;;;;x;
EVTNAME819;Мы выглядим слабыми;Nous semblons affaiblis;Wir erscheinen schwach;;Parecemos dйbiles;;;;;;;;;x;
EVTDESC819;Настоящие цивилизованные страны не позволяют простым людям размышлять над серьезными вещами. Весь мир смотрит на нас, и ему не нравится, что мы делаем.;Les pays civilisйs n'autorisent pas les simples roturiers а s'essayer а toutes sortes de pensйes sйrieuses. Le monde a les yeux braquйs sur nous et n'apprйcie guиre ce qu'il voit.;Richtig zivilisierte Nationen erlauben es unwichtigen Leuten nicht, ernsthaftes Denken zu betreiben. Die Augen der Welt sind auf uns gerichtet und die Welt mag nicht, was sie sieht.;;Los paнses debidamente civilizados no permiten a insignificantes plebeyos pensar en nada serio. El mundo nos contempla, y no le gusta lo que ve.;;;;;;;;;x;
EVTOPTB819A;Это временно;Cela ne durera pas.;Es ist temporдr;;Es temporal;;;;;;;;;x;
EVTNAME820;Появление новых мыслителей;De nouveaux penseurs surgissent;Neue Denker erscheinen;;Surgen nuevos pensadores;;;;;;;;;x;
EVTDESC820;Жители нашей страны получили больше свободы слова, что создало благодатную почву для появления новых идей. Некоторые одаренные мыслители со временем могут стать великими людьми и оставить нам богатое интеллектуальное наследство.;Nos gйnйreuses politiques qui confиrent au peuple une plus grande libertй d'expression ont ouvert la voie а des idйes aussi nouvelles que prometteuses. Plusieurs йminents penseurs pourraient bien sortir du lot et finir par quitter notre nation en laissant derriиre eux un hйritage durable de croissance intellectuelle.;Unser Versuch, den Menschen ein wenig Freiheit zu geben hat zu einer Situation gefьhrt, in der viele Leute groЯe neue Ideen haben. Einige davon kцnnten zu groЯen Denkern werden, die unserer Nation Ehre machen kцnnen.;;Nuestra generosa polнtica que concede a la gente mбs libertad de expresiуn ha creado un fйrtil caldo de cultivo para nuevas y prometedoras ideas. Algunos de los nuevos pensadores destacados podrнan convertirse en grandes hombres y dejar a nuestra naciуn un legado de desarrollo intelectual.;;;;;;;;;x;
EVTOPTB820A;Мы сделали разумный выбор;Nous avons fait le bon choix.;Wir haben weise ausgewдhlt;;Hemos elegido sabiamente;;;;;;;;;x;
EVTNAME821;Ересь;Hйrйsie;Hдresie;;Herejнa;;;;;;;;;x;
EVTDESC821;Иногда создается впечатление, что на месте каждого уничтоженного нами рассадника ереси сразу появляются два новых.;Curieusement, il semble que chaque fois que nous trouvons et neutralisons une poche d'hйrйtiques, deux autres surgissent.;Es erscheint falschherum, es ist als ob je mehr hдretische Gedanken wir unterdrьcken oder je mehr Hдretiker wir verbrennen, desto mehr neue erscheinen.;;De algъn modo, parece que por cada nido de herejes que eliminamos, surgen otros dos.;;;;;;;;;x;
EVTOPTB821A;Сорняки в саду...;Les mauvaises herbes...;Komisch;;Malas hierbas en el jardнn…;;;;;;;;;x;
EVTNAME822;Массовые волнения;Dйsordre;Unruhe;;Desorden;;;;;;;;;x;
EVTDESC822;Народ выражает недовольство нашим консервативным взглядом на новые идеи. Утверждается, что мы жестоко обращаемся с древними представлениями о свободе и прочими глупостями.;La population se plaint de notre йtroitesse d'esprit а l'йgard des nouvelles idйes. Elles demandent а ce que nous foulions aux pieds d'anciennes libertйs philosophiques et autres absurditйs.;Leute beschweren sich ьber unseren kurzsichtigen Umgang mit neuen Ideen. Sie meinen das wir auf antiken Freiheiten herumtrampeln und solche Dinge.;;La gente se queja de nuestra estrechez de miras ante nuevas ideas. Afirman que estamos pisoteando antiguas libertades filosуficas y tonterнas similares.;;;;;;;;;x;
EVTOPTB822A;Увы, кого-то придется сжечь...;Hйlas, certains doivent brыler...;Wir werden sie verbrennen mьssen;;Por desgracia, alguno tendrнa que arder…;;;;;;;;;x;
EVTNAME823;Появление святого человека;Un saint homme a fait son apparition;Ein heiliger Mann ist angekommen;;Un santo ha llegado;;;;;;;;;x;
EVTDESC823;Сегодня к нашему двору прибыл монах, восхищенный нашей суровой, но справедливой и богоугодной борьбой с еретиками и неверующими. Он просит нас о должности советника и говорит, что нация, которая молится вместе, будет едина и несокрушима.;Un moine a fait son apparition а la cour aujourd'hui, impressionnй par le dur, mais juste et saint, chвtiment que nous infligeons aux hйrйtiques et aux mйcrйants. Il a sollicitй un poste consultatif, arguant du fait qu'une nation qui prie ensemble, reste ensemble.;Ein Mцnch ist heute an unserem Hof angekommen. Beeindruckt von unserer Praktik, Unglдubige zu verbrennen, fragt er nach einer Beraterposition. Er denkt dass eine Nation, die zusammen betet, auch zusammenbleiben wird.;;Un monje ha llegado hoy a la corte, impresionado con nuestro severo, mas justo y piadoso, castigo a herejes e incrйdulos. Ha solicitado un puesto como asesor, afirmando que la naciуn que reza unida, permanece unida.;;;;;;;;;x;
EVTOPTB823A;Об этом стоит задуматься;Permettez-moi d'y rйflйchir.;Lasst mich darьber nachdenken;;Dйjame pensarlo.;;;;;;;;;x;
EVTNAME824;Страдания торговцев;Les marchands souffrent;Hдndler leiden;;Mercaderes en apuros;;;;;;;;;x;
EVTDESC824;Наша ставка на меркантилизм создает проблемы для наших купцов, торгующих с чужими землями.;Notre intйrкt pour le mercantilisme donne du fil а retordre а nos marchands qui travaillent а l'йtranger.;Unsere Ausrichtung auf Merkantilismus macht das Leben hart fьr unsere Hдndler, die an fremden Orten handeln.;;Al centrarnos en el mercantilismo, hemos hecho mбs dura la vida de aquellos de nuestros mercaderes que comercian en el extranjero.;;;;;;;;;x;
EVTOPTB824A;Надо было сидеть дома;Ils n'avaient qu'а rester chez eux.;Sie hдtten fortbleiben sollen;;Deberнan haberse quedado en casa;;;;;;;;;x;
EVTNAME825;Никто не хочет работать;Personne ne veut travailler;Niemand will arbeiten;;Nadie quiere trabajar;;;;;;;;;x;
EVTDESC825;Предоставив нашим купцам множество свобод, мы оказались в ситуации, когда люди больше не хотят заниматься честным трудом.;Suite aux gйnйreuses libertйs accordйes а nos marchands, plus personne ne veut travailler honnкtement.;Mit unserer groЯzьgigen Hilfe um sicherzustellen, das unser Handel von unseren Hдndlern abgewickelt wird haben wir eine Situation geschaffen, wo die Leute nicht mehr fьr ihren Unterhalt arbeiten wollen.;;Con las generosas libertades que hemos otorgado a nuestros mercaderes, hemos desembocado en una situaciуn en la que la gente sencillamente ya no quiere un trabajo honrado.;;;;;;;;;x;
EVTOPTB825A;Мы ожидали других следствий;Cela ne devait pas se passer comme зa.;Das war nicht der Plan!;;Ese no era el plan.;;;;;;;;;x;
EVTNAME826;Использование всех преимуществ торговли;Tirer parti de notre commerce;Unsere Handel ausnutzen;;Aprovechando nuestro comercio;;;;;;;;;x;
EVTDESC826;Наша ставка на меркантилизм привела к появлению управленцев, которые знают, как заставить купцов выполнять свои обязанности. Наше внимание привлек один из таких людей - он особенно одарен.;Nos politiques mercantilistes ont rйvйlй au grand jour des administrateurs capables de faire en sorte que les marchands s'acquittent de leur dus. L'un de ces administrateurs a rйcemment suscitй notre plus grand intйrкt.;Unsere merkantilistischen Richtlinien haben eine Spezies von Administrator  hervorgebracht, die gut darin ist, von den Hдndlern die vorgesehenen Zahlungen zu erhalten. Einer ist uns kьrzlich aufgefallen, der darin besonders gut ist.;;Nuestra polнtica mercantilista ha dado lugar a una clase de administrador buena para hacer que nuestros mercaderes paguen sus impuestos. Uno de aquellos, particularmente destacado, ha llamado nuestra atenciуn.;;;;;;;;;x;
EVTOPTB826A;Он может стать великим;Qu'il continue а faire de grandes choses ! ;Er kцnnte fьr groЯe Dinge bestimmt sein;;Puede seguir haciendo grandes cosas.;;;;;;;;;x;
EVTNAME827;Недостаток защиты;Manque de protection ;Nicht vorhandener Schutz;;Falta de protecciуn;;;;;;;;;x;
EVTDESC827;Наша поддержка свободной торговли привела к тому, что наши собственные купцы разоряются из-за действий чужеземцев.;Notre dйtermination а privilйgier le libre-йchange a provoquй un repli de nos marchands nationaux par rapport а leurs rivaux des autres pays.;Unsere Entschlossenheit, freien Handel einzufьhren hat dazu gefьhrt, dass unsere heimatlichen Hдndler von Rivalen aus anderen Lдndern verdrдngt werden.;;Nuestra determinaciуn de aceptar el libre cambio ha hecho que nuestros mercaderes estйn en desventaja ante rivales de otros paнses.;;;;;;;;;x;
EVTOPTB827A;Им придется адаптироваться;Ils doivent s'adapter.;Sie mьssen sich anpassen.;;Deben adaptarse.;;;;;;;;;x;
EVTNAME828;Отход купцов от дел;Des marchands baissent les bras;Hдndler verlassen uns;;Los mercaderes abandonan;;;;;;;;;x;
