EVTOPTA9455;Добрый вечер, миледи!;Bonsoir, madame !;Guten Abend, mein Frдulein!;;ЎBuenas noches, mi seсora!;;;;;;;;;x;
EVTOPTB9455;Добрый вечер, мой добрый друг!;Bonsoir, monsieur !;Guten Abend, mein Herr!;;ЎBuenas noches, mi buen seсor!;;;;;;;;;x;
EVTNAME9456;Болезнь наследника;L’hйritier tombe malade;Thronfolger wird krank;;El heredero cae enfermo;;;;;;;;;x;
EVTDESC9456;$HEIR$ тяжело дышит. $HEIR_CAP_S_PRONOUN$ уже три дня не встает с постели, а лоб покрывают капельки пота. Вы боитесь за $HEIR_ADJ$ жизнь. $HEIR_CAP_S_PRONOUN$ может не пережить эту ночь, если вы ничего не предпримите!;Votre hйritier, $HEIR$, a du mal а respirer. $HEIR_CAP_S_PRONOUN$ garde le lit depuis trois jours et les gouttes de sueur qui perlent sur le front $HEIR_ADJ$ reflиtent votre regard inquiet pour la vie $HEIR_ADJ$. Si vous ne faites rien, $HEIR_CAP_S_PRONOUN$ risque de ne pas passer la nuit.;Euer Nachfolger, $HEIR$, atmet schwer. $HEIR_CAP_S_PRONOUN$ liegt nun seit drei Tagen im Bett, und im SchweiЯ auf $HEIR_ADJ$ Stirn reflektiert sich die Angst in euren Augen um $HEIR_ADJ$ Leben. $HEIR_CAP_S_PRONOUN$ kцnnte die Nacht nicht ьberleben, wenn ihr nichts unternehmt.;;Tu heredero, $HEIR$, respira con dificultad. $HEIR_CAP_S_PRONOUN$ lleva tres dнas en cama, y reflejado en el sudor de la frente de $HEIR_ADJ$ se ve el miedo en tus ojos por la vida de $HEIR_ADJ$. $HEIR_CAP_S_PRONOUN$ podrнa no pasar de esta noche a no ser que hagas algo.;;;;;;;;;x;
EVTOPTA9456;Надо вызвать опытного лекаря;Vous faites appeler un mйdecin qualifiй.;Schickt nach einem Doktor.;;Envнa un mйdico entrenado.;;;;;;;;;x;
EVTOPTB9456;Помолимся за $HEIR_ADJ$ жизнь;Vous priez pour la vie $HEIR_ADJ$.;Betet fьr $HEIR_ADJ$ Leben.;;Reza por la vida de $HEIR_ADJ$.;;;;;;;;;x;
HAVE_CULTURAL_TRADITION_UNDER;Культурные традиции ниже ;Tradition culturelle infйrieure а ;Kulturtradition unter;;Tradiciуn cultural bajo;;;;;;;;;x;
HAVE_CULTURAL_TRADITION_OVER;Культурные традиции выше или равны ;Tradition culturelle d’au moins ;Kulturtradition zumindest;;Tradiciуn cultural de al  menos;;;;;;;;;x;
DEFINE_HEIR_EFFECT_UNKNOWN;Появится новый наследник трона.\n;Un nouvel hйritier lйgitime fait son apparition.\n;Ein neuer legaler Nachfolger tritt auf.\n;;Un nuevo heredero legal aparece.\n;;;;;;;;;x;
DYNASTY_IS;Правящей династией является род ';La dynastie rйgnante est ;Herrschende Dynastie ist ';;La dinastнa reinante es ';;;;;;;;;x;
DYNASTY_IS_NOT;Правящей династией НЕ является род ';La dynastie rйgnante n’est pas ;Herrschende Dynastie ist nicht ';;La dinastнa reinante no es ';;;;;;;;;x;
ADD_HEIR_CLAIM;Уровень прав наследника на трон изменится на;Lйgitimitй de l’hйritier;Beansprucht Stдrke des Nachfolgers;;Reclama con fuerza de heredero;;;;;;;;;x;
EVTNAME9457;Ребенок в камышах;Un enfant dans les roseaux;Ein Kind im Schilf;;Un niсo en los caсaverales;;;;;;;;;x;
EVTDESC9457;Внезапно животное вскакивает и, прежде чем вы успеваете выстрелить, убегает. Вы осматриваетесь. Вода в ручейке отражает солнечный свет превосходного дня, а легкий ветерок медленно колышет камышовые заросли. Что, смех? Теперь вы понимаете, что вспугнуло зверя. В колыбели, плавающей среди камышей, лежит крохотный смеющийся мальчик. Судя по его улыбке, он никогда еще в жизни не испытывал страха.;Soudain, quelque chose effraie l’animal et, avant que vous ayez le temps de tirer, il est dйjа parti. Vous regardez autour de vous. La journйe est radieuse, les rayons du soleil se reflиtent sur l’eau du petit ruisseau et les roseaux oscillent lentement sous la brise lйgиre. Est-ce un йclat de rire ? Vous comprenez ce qui a fait fuir l’animal. Dans un berceau, flottant parmi les roseaux, vous dйcouvrez un petit garзon rieur. А le voir ainsi, vous vous dites qu’il n’a jamais dы avoir peur de sa vie.;Plцtzlich erschreckt etwas das Tier und bevor ihr schieЯen kцnnt ist es lange weg. Ihr seht euch um. Das Wasser desr kleinen Bucht reflektiert das Sonnenlicht eines perfekten Tages, und das Schilf schwankt langsam in einer leichten Brise. Ist das Gelдchter? Ihr merkt nun, was das Tier erschreckt hat. In einem Korb, der zwischen dem Schilf schaukelt, liegt ein lachender kleiner Junge. Nach seinem Grinsen zu urteilen denkt ihr, dass er noch nie in seinem Leben Angst hatte.;;Algo asusta de pronto al animal, y antes de que tengas tiempo de disparar, ha huido. Miras alrededor. El agua en el riachuelo refleja la luz solar de un dнa perfecto, y los juncos se mueven suavemente con la brisa. їEso son risas? Ahora entiendes quй ha asustado al animal. En una cesta, flotando entre los juncos, un bebй rнe. A juzgar por su sonrisa, se dirнa que no ha conocido el miedo en su vida.;;;;;;;;;x;
EVTOPTA9457;Усыновить его;Vous l’adoptez pour l’йlever comme votre fils.;Adoptiert ihn.;;Adуptalo como tuyo.;;;;;;;;;x;
EVTOPTB9457;Куда убежал этот олень?;Oщ est passй ce cerf ?;Wohin ist das Reh verschwunden?;;їAdуnde ha ido ese ciervo?;;;;;;;;;x;
EVTNAME9458;Рыцарский турнир;Tournoi de joutes;Turnier;;Torneo de justa;;;;;;;;;x;
EVTDESC9458;Величавые штандарты нашей державы развеваются на ветру, а золоченые трубы проиграли четыре приветственных ноты, отдавая честь нашей рыцарской элите. Воздух наполнен запахами жареного миндаля, лошадей и интриг. Наше культурное и военное превосходство – настоящее благодеяние для страны, и никогда этот факт не был столь несомненным, как сегодня. Как вы проведете этот день, ваше величество?;Les fiиres banniиres de notre nation flottent au vent tandis que les trompettes dorйes sonnent pour honorer nos йlites йquestres. L’air est saturй d’odeurs d’amandes grillйes, de chevaux et d’intrigues. Notre domination culturelle et militaire est une vйritable aubaine pour notre nation, comme en tйmoigne le spectacle d’aujourd’hui. Comment voulez-vous passer votre journйe au tournoi ? ;Das stolze Banner eurer Nation flattert im Wind und Hцrner blasen Salut um eure Elite zu ehren. Die Luft wird vom Geruch von gerцsteten Mandeln, Pferden und Spannung erfьllt. Unsere kulturelle und militдrische Prominenz sind wahrlich Vorzьge unserer Nation, und nirgens sonst ist das so offensichtlich wie hier und heute. Wie wollt ihr den Tag beim Turnier verbringen?;;Las orgullosas banderas de nuestra naciуn ondean al viento, honrando a nuestra elite ecuestre. El aire huele a almendras tostadas, caballos e intriga. Nuestra preeminencia cultural y militar son de gran ayuda para nuestra naciуn, y en ninguna parte resulta mбs evidente que aquн y ahora. їCуmo deseas pasar el dнa en el torneo? ;;;;;;;;;x;
EVTOPTA9458;Понаблюдаем за поединком наследника;En assistant а la joute de votre hйritier.;Seht eurem Thronfolger zu;;Mira cуmo justa tu heredero.;;;;;;;;;x;
EVTOPTB9458;Похвастаемся нашими культурными достижениями;En vous vantant de nos rйalisations culturelles.;Erzдhlt von euren kulturellen Errungenschaften.;;Jбctate de nuestros logros culturales.;;;;;;;;;x;
EVTOPTC9458;Просто насладимся днем;En profitant de la journйe, tout simplement.;GenieЯt den Tag.;;Simplemente disfruta del dнa.;;;;;;;;;x;
EVTNAME9459;Несчастный случай на охоте;Accident de chasse;Jagdunfall;;Accidente de caza;;;;;;;;;x;
EVTDESC9459;Кто-то обернул тело в белую ткань, и вы не сразу поняли, что это $HEIR_S_PRONOUN$. От $HEIR_ADJ$ крови ткань стала черной. Говорят, тело нашла на поляне в лесу $HEIR_ADJ$ лошадь. Вы знаете, о каком месте они говорят. $HEIR_CAP_ADJ$ лицо выглядит спокойным, почти безмятежным. Вы дотрагиваетесь до $HEIR_O_PRONOUN$ и внезапно осознаете произошедшее. Холод, который вы чувствуете, означает смерть...;Quelqu’un a enveloppй le corps $HEIR_CAP_ADJ$ dans un drap blanc dйsormais tachй du sang. On vous explique que sa dйpouille a йtй retrouvйe prиs du cheval $HEIR_ADJ$ dans une clairiиre au milieu des bois. Vous connaissez cet endroit. Le visage $HEIR_CAP_ADJ$ est calme, presque serein. Vous tendez le bras pour $HEIR_O_PRONOUN$ toucher. Tout а coup, vous prenez conscience de la terrible rйalitй : le froid que vous sentez est celui de la mort.;$HEIR_CAP_ADJ$ Kцrper wurde von jemand in weiЯes Leinen gehьllt, das nun von $HEIR_ADJ$ Blut rot wird. Sie sagen dass $HEIR_S_PRONOUN$ neben $HEIR_ADJ$ Pferd auf einer Lichtung im Wald gefunden wurde. Ihr kennt den Ort, den sie meinen. $HEIR_CAP_ADJ$ Gesichtsausdruck ist fast friedlich. Ihr lehnt euch vor ihn zu berьhren $HEIR_O_PRONOUN$. Die schreckliche Wirklichkeit der Situation wird euch klar. Die Kдlfte, die ihr fьhlt, ist die des Todes.;;El cuerpo de $HEIR_CAP_ADJ$ ha sido envuelto, no sabes por quiйn, con una tela blanca manchada por la sangre de $HEIR_ADJ$. Dicen que $HEIR_S_PRONOUN$ fue hallado por el caballo de $HEIR_ADJ$, en un claro del bosque. Conoces el sitio. Su $HEIR_CAP_ADJ$ faz estб tranquila, casi serena. Tiendes la mano para tocar a $HEIR_O_PRONOUN$. Empiezas a comprender la terrible realidad de la situaciуn. El frнo que sientes es el de la muerte.;;;;;;;;;x;
EVTOPTA9459;Какое горе...;Le chagrin s’empare de vous.;Ihr werdet von Trauer ьbermannt.;;La pena te abruma.;;;;;;;;;x;
EVTOPTB9459;Что ж... Хорошо...;Oh bien...;Naja…;;Vaya…;;;;;;;;;x;
EVTNAME9460;Фамильный секрет?;Secret de famille ?;Familiengeheimnis?;;їSecreto familiar?;;;;;;;;;x;
EVTDESC9460;Однажды - далеко не сразу - вы заметили, что люди смеются за вашей спиной. После неприятных расспросов вам удалось узнать причину этого смеха. Похоже, ваш наследник позволяет себе появляться в городе в самом неподобающем виде, и потому ваша семья стала всеобщим посмешищем едва ли не всей Европы.;La premiиre fois, vous n’y prкtez pas attention, mais а deuxiиme, puis а la troisiиme fois, vous commencez а vous interroger. Pourquoi les gens se moquent-ils de vous en faisant comme si vous ne les entendiez pas ? Finalement, une femme de chambre consent а vous йclairer. Apparemment, votre hйritier a traversй la ville d’une faзon peu chrйtienne et votre famille est dйsormais la risйe de toute l’Europe.;Das erste Mal ьberseht ihr es einfach, aber als es ein zweites und drittes Mal passiert, werdet ihr stutzig. Warum lachen die Leute ьber euch wenn sie denken, dass ihr sie nicht hцren kцnnt? Nachdem ihr euch erkundigt habt erfahrt ihr es endlich vom Hausmдdchen. Es scheint, dass euer Nachfolger in der ganzen Stadt auf hцchst unchristliche Art herumgelaufen ist. Nun winkt eurer Familie in ganz Europa Spott und Hohn.;;La primera vez le quitas importancia, pero cuando pasa una segunda y una tercera, empiezas a preguntarte. їPor quй se rнe la gente de ti cuando piensa que no la estбs oyendo? Tras un buen rato haciendo preguntas, al final logras una respuesta de una criada. Al parecer, tu heredero ha estado yendo de un lado a otro de la ciudad de un modo nada cristiano, y tu familia se estб convirtiendo en el hazmerreнr de Europa.;;;;;;;;;x;
EVTOPTA9460;Публично обругать $HEIR_POSS_PRONOUN$;Vous allez $HEIR_O_PRONOUN$ rйprimander publiquement.;Bestraft $HEIR_O_PRONOUN$ цffentlich;;Reprende a $HEIR_O_PRONOUN$ pъblicamente.;;;;;;;;;x;
EVTOPTB9460;...и что?;... Et alors ?;…und?;;ї… Y quй?;;;;;;;;;x;
settlement_policy;Политика переселения;Politique de colonisation;Siedlungspolitik;;Polнtica de asentamiento;;;;;;;;;x;
desc_settlement_policy;Государство поддерживает политику переселения в эту провинцию. Наши колонисты, переезжая сюда, постепенно меняют ее культурный и политический ландшафт. Пройдет время, и такая политика сделает местное население неотличимым в культурном плане от нашего коренного народа. Впрочем, эта идея не слишком популярна в народе.;L’Йtat soutient une politique de colonisation vis-а-vis de cette province. Les colons y affluent, changeant progressivement le paysage culturel et politique. Cette politique risque d’assimiler cette province а notre culture. Or, elle est impopulaire.;Der Staat unterstьtzt eine Siedlungspolitik in dieser Provinz. Kolonisten aus unserem Land kommen hierher, was nach und nach die kulturelle und politische Lanndschaft verдndert.  Mit der Zeit wird das dazu fьhren, dass sich die Provinz kulturell mit uns identifiziert, aber sie ist alles andere als populдr.;;El estado apoya una polнtica de asentamiento en esta provincia. Nuestros colonos llegan a la provincia, cambiando gradualmente su contexto cultural y polнtico. Con el tiempo, esta polнtica podrнa hacer que dicha provincia se identifique culturalmente con nosotros, pero es no es una polнtica nada popular.;;;;;;;;;x;
enact_settlement_policy_title;Начать политику переселения;Application de la politique de colonisation;Siedlungspolitik einrichten;;Decreta polнtica de asentamiento;;;;;;;;;x;
enact_settlement_policy_desc;Политика активного переселения, проводимая в этой провинции, позволит нам лет через пятьдесят или около того включить ее в наше культурное поле. Надо отметить, что эта идея крайне непопулярна как среди местного населения, так и за границей.;En dйpit de son impopularitй, une politique de colonisation active nous permettra d’englober cette province dans notre sphиre culturelle d’ici une cinquantaine d’annйes.;Wдhrend die Siedlungspolitik in dieser Provinz sowohl lokal als auch woanders unpopulдr ist, wird sie die Provinz in 50 Jahren oder so in unsere Kultursphдre bringen.;;Si bien impopular localmente y en el extranjero, una polнtica de asentamiento activo en esta provincia la incluirб dentro de nuestra esfera cultural dentro de unos cincuenta aсos.;;;;;;;;;x;
revoke_settlement_policy_title;Отказаться от политики переселения;Annulation de la politique de colonisation;Siedlungspolitik widerrufen;;Revoca polнtica de asentamiento;;;;;;;;;x;
revoke_settlement_policy_desc;Если мы откажемся от политики переселения в этой провинции, это может быть расценено как признание нашего поражения. Впрочем, все равно такой отказ был бы довольно разумным шагом.;Toute annulation de la politique de colonisation relative а cette province sera perзue comme un aveu de dйfaite. Nйanmoins, cela peut кtre un choix avisй.;Wenn wir die Siedlungspolitik in dieser Provinz widerrufen, gestehen wir uns eine Niederlage ein.  Es kцnnte dennoch eine weise Entscheidung sein.;;Revocar la polнtica de asentamiento en esta provincia serб visto como admitir la derrota. Sin embargo, quizб sea una sabia elecciуn.;;;;;;;;;x;
EVTNAME9461;Политика переселения;Politique de colonisation;Siedlungspolitik;;Polнtica de asentamiento;;;;;;;;;x;
EVTDESC9461;Политика переселения, которую мы проводили в этой провинции в течение долгих лет, дала наконец свои плоды! Теперь, когда эта территория считает себя неотъемлемой частью нашей культуры, мы можем отказаться от колонизационной политики.;La politique de colonisation que nous avons mise en њuvre dans cette province semble avoir portй ses fruits. Maintenant que celle-ci appartient а notre sphиre culturelle, nous pouvons mettre un terme а cette politique.;Die Siedlungspolitik, die wir in dieser Provinz eingerichtet haben, war von Erfolg gekrцnt. Sie ist nun in unserer Kultursphдre und wir kцnnen jetzt die Politik beenden.;;La polнtica de asentamiento que hemos decretado en esta provincia parece haber tenido йxito. Con la provincia dentro de nuestra esfera cultural, podemos finalizar dicha polнtica.;;;;;;;;;x;
EVTOPTA9461;Отлично!;Excellent !;Sehr gut!;;ЎExcelente!;;;;;;;;;x;
DEFENDER_DESC;Защитник веры получает просьбы о помощи от братьев по вере, оказавшихся в войне с еретиками или неверными. Затраты на титул составляют $VALUE$¤. По истечении §Y$MONTHS$§W месяцев страны, обладающие большим престижем, чем нынешний защитник, смогут заявить о своих претензиях на этот титул.;Nos frиres de foi appellent le dйfenseur de la foi а entrer en guerre contre les hйrйtiques et les infidиles. Cela coыtera §Y$VALUE$§W¤. Aprиs §Y$MONTHS$§W mois, les pays dont le prestige sera supйrieur а celui du dйfenseur actuel pourront revendiquer le titre.;Der Verteidiger des Glaubens wird von Glaubensbrьdern in Kriegen gegen Unglдubige und Heretiker zu Hilfe gerufen. Dies kostet §Y$VALUE$§W¤. Nach §Y$MONTHS$§W Monaten kцnnen Nationen mit hцherem Prestige als der derzeite Verteidiger des Glaubens den Titel ьbernehmen.;;El Defensor de la Fe es llamado a la guerra por nuestros hermanos de fe contra herejes e infieles. Ello costarб §Y$VALUE$§W¤. Tras §Y$MONTHS$§W meses, paнses con mбs prestigio que el actual Defensor pueden reclamar el tнtulo.;;;;;;;;;x;
CW_WARNDOF;Держава $COUNTRY$ является защитником веры $RELIGION$, и она обязательно встанет на их защиту.;$COUNTRY$ est le dйfenseur de la foi $RELIGION$ et la protйgera.;$COUNTRY$ ist Verteidiger des $RELIGION$ Glaubens, und wird ihn schьtzen.;;$COUNTRY$ es defensor de la Fe $RELIGION$, y los protegerб.;;;;;;;;;x;
CW_WARNDOF2;Держава $COUNTRY$ является защитником веры $RELIGION$, и она обязательно встанет на защиту державы $ENEMY$.;$COUNTRY$ est le dйfenseur de la foi $RELIGION$ et protйgera $ENEMY$.;$COUNTRY$ ist Verteidiger des $RELIGION$ Glaubens, und wird $ENEMY$ schьtzen.;;$COUNTRY$ es Defensor de la Fe $RELIGION$, y protegerб a $ENEMY$.;;;;;;;;;x;
LAND_MAINTENANCE_MODIFIER;Содержание армии;Modificateur d’entretien militaire;Armeeunterhaltmodifikator;;Modificador de mantenimiento terrestre;;;;;;;;;x;
NAVAL_MAINTENANCE_MODIFIER;Содержание флота;Modificateur d’entretien naval;Flottenunterhaltmodifikator;;Modificador de mantenimiento naval;;;;;;;;;x;
CURRENT_DEFENDER_TIP;Держава $COUNTRY$ потеряет свой титул, если проиграет войну или если другая держава, обладающая большим престижем, предъявит на него свои права.;$COUNTRY$ conservera le titre jusqu’а ce qu’il perde une guerre ou qu’un autre pays au prestige supйrieur revendique le titre.;$COUNTRY$ wird den Titel behalten, bis sie in einem Krieg besiegt werden oder ein anderes Land mit hцherem Prestige den Titel ьbernimmt.;;$COUNTRY$ conservarб el tнtulo hasta ser vencido en guerra, o hasta que otro paнs lo reclame cuando tenga mбs prestigio.;;;;;;;;;x;
CAN_CLAIM_DOF;§YМы можем предъявить права на титул защитника веры!§W;§YNous pouvons dйsormais revendiquer le titre de dйfenseur de la foi !§W;§Ywir kцnnen nun den Titel Verteidiger des Glaubens beanspruchen!§W;;§YЎAhora podemos reclamar el tнtulo de Defensor de la Fe!§W;;;;;;;;;x;
S_M_PRONOUN;он;il;er;;йl;;;;;;;;;x;
S_F_PRONOUN;она;elle;sie;;ella;;;;;;;;;x;
CAP_S_M_PRONOUN;Он;Il;Er;;Йl;;;;;;;;;x;
CAP_S_F_PRONOUN;Она;Elle;Sie;;Ella;;;;;;;;;x;
O_M_PRONOUN;него;lui;ihm;;a йl;;;;;;;;;x;
O_F_PRONOUN;нее;elle;ihr;;a ella;;;;;;;;;x;
CAP_O_M_PRONOUN;Него;Lui;Ihm;;a Йl;;;;;;;;;x;
CAP_O_F_PRONOUN;Нее;Elle;Ihr;;a Ella;;;;;;;;;x;
POSS_M_PRONOUN;его;le sien / la sienne / les siens / les siennes;sein;;de йl;;;;;;;;;x;
POSS_F_PRONOUN;ее;le sien / la sienne / les siens / les siennes;ihr;;de ella;;;;;;;;;x;
CAP_POSS_M_PRONOUN;Его;Le sien / La sienne / Les siens / Les siennes;Sein;;de Йl;;;;;;;;;x;
CAP_POSS_F_PRONOUN;Ее;Le sien / La sienne / Les siens / Les siennes;Ihr;;de Ella;;;;;;;;;x;
M_ADJ;его;son / sa / ses;sein;;su;;;;;;;;;x;
F_ADJ;ее;son / sa / ses;ihr;;su;;;;;;;;;x;
CAP_M_ADJ;Его;Son / Sa / Ses;Sein;;Su;;;;;;;;;x;
CAP_F_ADJ;Ее;Son / Sa / Ses;Ihr;;Su;;;;;;;;;x;
alert_superior_unit_type_instant;§YДоступны лучшие войска!§W;§YTypes d’unitйs supйrieurs§W;§Yьberlegene Einheitentypen§W;;§Ytipos de unidades superiores§W;;;;;;;;;x;
alert_superior_unit_type_delayed;Мы можем выбрать в качестве предпочитаемого типа полков более современные войска:;Ces unitйs sont peut-кtre prйfйrables :;Diese Einheiten kцnnten besser sein:;;Estas unidades puede que tengan mбs opciones:;;;;;;;;;x;
IS_SUPERIOR_TO;§W лучше, чем §Y;§W est supйrieur а §Y;§W ist ьberlegen gegenьber §Y;;§W es superior a §Y;;;;;;;;;x;
expanded_bureaucracy;Увеличение бюрократического аппарата;Expansion de la bureaucratie;Erweiterte Bьrokratie;;Burocracia expandida;;;;;;;;;x;
desc_expanded_bureaucracy;Говорят, что законы порождают еще больше законов, и нигде это не звучит справедливее, чем под священными сводами государственного управления. Наши магистраты смогли увеличить бюрократический аппарат в столице, и теперь у нас больше чиновников, чем раньше. И хотя это помогает нам управлять государством, новая система не лишена недостатков. Однажды укоренившись, бюрократы больше не позволят сократить самих себя.;On dit que les lois engendrent d’autres lois. Et l’administration publique en est le parfait exemple. Nos magistrats ont йtendu la bureaucratie de la capitale, et leur nombre a augmentй. Si cela aide l’administration а se dйvelopper, ce n’est pas sans inconvйnients. Une fois retranchйe, une classe administrative refuse systйmatiquement de s’abolir.;Man sagt, dass Gesetze immer mehr Gesetze hervorbringen, und nirgends trifft das so zu wie in den Hallen der цffentlichen Administration. Unsere Magistrate haben die Bьrokratie in der Hauptstadt ausgebaut und wir bekommen nun noch mehr von ihnen Wдhrend das der Administration hilft, gibt es auch Nachteile. Wenn so eine Administration einmal aufgebaut ist, wird sie sich selbst nicht wieder abschaffen.;;Dicen que las leyes engendran mбs leyes, y en ningъn sitio es mбs cierto que en las santas dependencias de la administraciуn pъblica. Nuestros magistrados han expandido la burocracia en la capital, y ahora tenemos mбs de ellos. Aunque ello ayuda a expandirse a la administraciуn, no deja de tener inconvenientes. Una vez consolidado, un estamento administrativo nunca actuarб para abolirse a sн mismo.;;;;;;;;;x;
expand_bureaucracy_title;Увеличить бюрократический аппарат;Expansion de la bureaucratie;Erweitert die Bьrokratie;;Expande la burocracia;;;;;;;;;x;
expand_bureaucracy_desc;Говорят, что законы порождают еще больше законов, и нигде это не звучит справедливее, чем под священными сводами государственного управления. В нашей столице, которая одновременно является нашим национальным центром, мы можем предложить нашим магистратам расширить бюрократию.;On dit que les lois engendrent d’autres lois. Et l’administration publique en est le parfait exemple. Notre capitale йtant dйsignйe comme cause nationale, nous pouvons demander а nos reprйsentants de dйvelopper la bureaucratie nationale.;Man sagt, dass Gesetze immer mehr Gesetze hervorbringen, und nirgends trifft das so zu wie in den Hallen der цffentlichen Administration. Mit dem nationalen Schwerpunkt auf der Hauptstadt kцnnen wir sie beauftragen, die Bьrokratie auszuweiten.;;Dicen que las leyes engendran mбs leyes, y en ningъn sitio es mбs cierto que en las santas dependencias de la administraciуn pъblica. Con nuestro foco nacional en la capital, podemos pedir a nuestros funcionarios que expandan la burocracia nacional.;;;;;;;;;x;
EVTNAME9462;Интригующая бюрократия;Bureaucratie intrigante;Hinterhдltige Bьrokratie;;Burocracia intrigante;;;;;;;;;x;
EVTDESC9462;"Захват власти? Конечно же, нет! Мы просто принимаем на себя обязанности по управлению делами, как это изложено в форме 32Б королевской администрации, ""Белая книга"", параграф 48:53Д, о передаче власти при определенных обстоятельствах, модифицированный защитными оговорками 3, 8 и 12б закона 48-9 и эдикта 3в-4. Что тут не понятного? Ваше величество сами все это подписали.";Une prise de pouvoir ? Certainement pas. Il s’agit simplement d’une hypothиse normale formulйe par le bureau exйcutif, conformйment au formulaire 32B, sur l’administration du royaume, livre blanc 48:53-D, quant au transfert de pouvoir dans certaines circonstances, tel que modifiй par les clauses protectrices 3, 8 et 12b, loi 48-9 et йdit 3W-4. Qu’y a-t-il d’incomprйhensible ? Vous les avez tous signйs, Majestй.;Machtьbernahme? Sicherlich nicht. Das ist ganz einfach eine normale Annahme der Exekutive, wie in Formular 32B ausgefьhrt, zur Administration des Kцnigreichs. Papier 48:53-D, zum Transfer der Macht unter bestimmten Umstдnden, wie durch die Schutzartikel 3, 8 und 12b, Gesetz 48-9 und Erlass 3W-4 festgelegt. Wie kann man das nicht verstehen? Eure Majestдt haben sie doch alle unterschrieben.;;їTomando el poder? Claro que no. Es simplemente la premisa normal del despacho ejecutivo, segъn lo dispuesto en el formulario 32B, sobre la administraciуn del reino, libro blanco 48:53-D, sobre la transferencia de poder bajo ciertas circunstancias, modificado por las clбusulas de protecciуn 3, 8 y 12b, ley 48-9 y edicto 3W-4. їQuй es lo que no se entiende? Su majestad los ha firmado todos.;;;;;;;;;x;
EVTOPTA9462;Убить их. Всех.;Tuez-les. Tous.;Tцtet sie. Alle.;;Mбtalos. A todos.;;;;;;;;;x;
EVTOPTB9462;Раз так... Да... Похоже, все в порядке...;Eh bien... oui... Oui, tout semble en ordre.;Hmm….ja….ja, alles scheint in Ordnung zu sein.;;Bueno… sн… Sн, esto parece estar todo en orden.;;;;;;;;;x;
CURRENT_EMPEROR;Император - §Y$RULERNAME$§W из державы §Y$NAME$§W.;§Y$RULERNAME$§W de §Y$NAME$§W est l’empereur;§Y$RULERNAME$§W aus §Y$NAME$§W ist Kaiser;;§Y$RULERNAME$§W de §Y$NAME$§W es el emperador;;;;;;;;;x;
formalized_measures;Формализованная система мер и весов;Harmonisation des йchelles, poids et mesures;Standardisierte Gewichte, Waagen und MaЯe;;Escalas, pesos y medidas normalizadas.;;;;;;;;;x;
desc_formalized_measures;Наша держава формализовала систему мер и весов. От четырех до восьми боватов равны одной гайде, а пять гайд составляют уэпентейк или сотню. Впрочем, мы не совсем в этом уверены. И хотя это не метрическая система мер, она здорово нам поможет, если мы решим использовать эти единицы мер и весов по всей стране.;Notre nation a harmonisй son systиme d’йchelles, poids et mesures. Quatre а huit labourйes de bњufs font une charruйe et cinq charruйes font un hundred. Du moins, c’est ce que nous croyons. Il ne s’agit pas du systиme mйtrique, mais le fait que nous dйcidions d’utiliser les mкmes unitйs de base partout dans le pays constitue dйjа un grand pas en avant.;Unsere Nation hat ihr System von Gewichten, Wagen und MaЯen standardisiert. Wir Felle fьr eine Mьnze, und fьnf Mьnzen fьr ein Stьck Gold...Wir sind uns nicht sicher. Wдhrend das kein metrisches System ist hilft es doch, dass wir nun im ganzen Land dasselbe System  verwenden.;;Nuestra naciуn ha normalizado su sistema de pesos, escalas y medidas. De cuatro a ocho bovates son un carucate, y cinco carucates hacen un wapentake a un ciento. No estamos muy seguros. Si bien no es ningъn sistema mйtrico, sн es un gran paso que al menos hayamos decidido usar las mismas unidades bбsicas en todo el paнs...;;;;;;;;;x;
formalize_measures_title;Формализовать систему мер и весов;Harmonisation des йchelles, poids et mesures;Standardisiert Gewichte, Waagen und MaЯe;;Normaliza escalas, pesos y medidas.;;;;;;;;;x;
